ISBN	Book-Title	Book-Author	Year-Of-Publication
0	0440234743	The Testament	John Grisham	1999
1	0452264464	Beloved (Plume Contemporary Fiction)	Toni Morrison	1994
2	0971880107	Wild Animus	Rich Shapero	2004
3	0345402871	Airframe	Michael Crichton	1997
4	0345417623	Timeline	MICHAEL CRICHTON	2000
5	0446310786	To Kill a Mockingbird	Harper Lee	1988
6	0449005615	Seabiscuit: An American Legend	LAURA HILLENBRAND	2002
7	0060168013	Pigs in Heaven	Barbara Kingsolver	1993
8	0671888587	I'll Be Seeing You	Mary Higgins Clark	1994
9	0553582747	From the Corner of His Eye	Dean Koontz	2001
10	0425182908	Isle of Dogs	Patricia Cornwell	2002
11	042518630X	Purity in Death	J.D. Robb	2002
12	0440223571	This Year It Will Be Different: And Other Stories	Maeve Binchy	1997
13	0842342702	Left Behind: A Novel of the Earth's Last Days (Left Behind #1)	Tim Lahaye	2000
14	0440225701	The Street Lawyer	JOHN GRISHAM	1999
15	0671623249	LONESOME DOVE	Larry McMurtry	1986
16	042511774X	Breathing Lessons	Anne Tyler	1994
17	0804106304	The Joy Luck Club	Amy Tan	1994
18	0140067477	The Tao of Pooh	Benjamin Hoff	1983
19	0345465083	Seabiscuit	LAURA HILLENBRAND	2003
20	1558531025	Life's Little Instruction Book (Life's Little Instruction Books (Paperback))	H. Jackson Brown	1991
21	0441783589	Starship Troopers	Robert A. Heinlein	1987
22	0316769487	The Catcher in the Rye	J.D. Salinger	1991
23	0679429220	Midnight in the Garden of Good and Evil: A Savannah Story	John Berendt	1994
24	0671867156	Pretend You Don't See Her	Mary Higgins Clark	1998
25	0446677450	Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!	Robert T. Kiyosaki	2000
26	0451166892	The Pillars of the Earth	Ken Follett	1996
27	067976397X	Corelli's Mandolin : A Novel	LOUIS DE BERNIERES	1995
28	0786868716	The Five People You Meet in Heaven	Mitch Albom	2003
29	0446608653	The Alibi	Sandra Brown	2000
30	0446612545	The Beach House	James Patterson	2003
31	0553584383	Dead Aim	IRIS JOHANSEN	2004
32	0671027360	Angels &amp; Demons	Dan Brown	2001
33	0743439740	Every Breath You Take : A True Story of Obsession, Revenge, and Murder	Ann Rule	2002
34	0380619458	The Mosquito Coast	Paul Theroux	1990
35	0671042858	The Girl Who Loved Tom Gordon	Stephen King	2000
36	0425184226	The Sum of All Fears	Tom Clancy	2002
37	0060929790	One Hundred Years of Solitude	Gabriel Garcia Marquez	1998
38	0060976845	Little Altars Everywhere: A Novel	Rebecca Wells	1996
39	0061099325	Coyote Waits (Joe Leaphorn/Jim Chee Novels)	Tony Hillerman	1992
40	0671004573	Before I Say Good-Bye	Mary Higgins Clark	2001
